RECORDING_SESSION_LABEL,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_AVG_VELOCITY,CURRENT_SAC_CONTAINS_BLINK,CURRENT_SAC_DURATION,CURRENT_SAC_END_TIME,CURRENT_SAC_INDEX,CURRENT_SAC_PEAK_VELOCITY,CURRENT_SAC_PEAK_VELOCITY_TIME,CURRENT_SAC_START_TIME,TRIAL_INDEX,TRIAL_SACCADE_TOTAL,TRIAL_START_TIME,TRIAL_LABEL
alcohol_01,7.39,46.2,TRUE,160,188,1,1283.85,120170,29,1,10,120119,Trial: 1
alcohol_01,4.89,128.68,FALSE,38,975,2,193.3,121071,938,1,10,120119,Trial: 1
alcohol_01,2.4,100.1,FALSE,24,1119,3,162.73,121227,1096,1,10,120119,Trial: 1
alcohol_01,17.51,265.24,FALSE,66,1453,4,428.98,121542,1388,1,10,120119,Trial: 1
alcohol_01,5.72,146.64,FALSE,39,1607,5,264.74,121705,1569,1,10,120119,Trial: 1
alcohol_01,15.04,231.34,FALSE,65,1892,6,408.32,121968,1828,1,10,120119,Trial: 1
alcohol_01,2.56,94.63,FALSE,27,2292,7,180.29,122398,2266,1,10,120119,Trial: 1
alcohol_01,1.42,67.47,FALSE,21,2981,8,106.39,123090,2961,1,10,120119,Trial: 1
alcohol_01,0.74,52.85,FALSE,14,3819,9,56.82,123931,3806,1,10,120119,Trial: 1
alcohol_01,0.24,1.43,TRUE,167,4244,10,1364.62,124219,4078,1,10,120119,Trial: 1
alcohol_01,8.57,171.48,FALSE,50,853,1,285.08,125326,804,2,8,124505,Trial: 2
alcohol_01,2.75,105.71,FALSE,26,975,2,182.66,125468,950,2,8,124505,Trial: 2
alcohol_01,17.19,264.45,FALSE,65,1390,3,420.56,125864,1326,2,8,124505,Trial: 2
alcohol_01,6.92,144.27,FALSE,48,1607,4,274.47,126080,1560,2,8,124505,Trial: 2
alcohol_01,6.74,97.71,FALSE,69,2016,5,131.44,126464,1948,2,8,124505,Trial: 2
alcohol_01,2.26,90.4,FALSE,25,2619,6,143.64,127111,2595,2,8,124505,Trial: 2
alcohol_01,0.5,49.92,FALSE,10,3697,7,45.37,128198,3688,2,8,124505,Trial: 2
alcohol_01,17.97,417.8,FALSE,43,4112,8,819.7,128609,4070,2,8,124505,Trial: 2
alcohol_01,1.1,68.58,FALSE,16,164,1,80.88,128804,149,3,8,128648,Trial: 3
alcohol_01,9.31,211.69,FALSE,44,898,2,415.2,129520,855,3,8,128648,Trial: 3
alcohol_01,0.99,62.03,FALSE,16,1076,3,73.52,129716,1061,3,8,128648,Trial: 3
alcohol_01,21.85,206.17,FALSE,106,1357,4,303.9,129918,1252,3,8,128648,Trial: 3
alcohol_01,13.37,120.48,FALSE,111,1832,5,210.84,130384,1722,3,8,128648,Trial: 3
alcohol_01,2.07,12.05,TRUE,172,2622,6,1473.57,131122,2451,3,8,128648,Trial: 3
alcohol_01,0.7,64.05,FALSE,11,4145,7,62.05,132789,4135,3,8,128648,Trial: 3
alcohol_01,0.58,30.67,FALSE,19,4520,8,58.6,133156,4502,3,8,128648,Trial: 3
alcohol_01,9.64,185.48,FALSE,52,824,1,327.85,134179,773,4,7,133387,Trial: 4
alcohol_01,1.7,77.36,FALSE,22,962,2,123.91,134338,941,4,7,133387,Trial: 4
alcohol_01,19.85,264.68,FALSE,75,1222,3,397.95,134566,1148,4,7,133387,Trial: 4
alcohol_01,3.08,106.18,FALSE,29,1399,4,187.36,134771,1371,4,7,133387,Trial: 4
alcohol_01,13.99,46.47,TRUE,301,2061,5,816.1,135412,1761,4,7,133387,Trial: 4
alcohol_01,1.45,69.04,FALSE,21,3187,6,107.75,136564,3167,4,7,133387,Trial: 4
alcohol_01,0.77,54.96,FALSE,14,3709,7,61.58,137089,3696,4,7,133387,Trial: 4
alcohol_01,1.59,7.39,TRUE,215,555,1,1759.97,138017,341,5,12,137656,Trial: 5
alcohol_01,9.6,204.19,FALSE,47,855,2,372.44,138483,809,5,12,137656,Trial: 5
alcohol_01,1.53,61.34,FALSE,25,989,3,129.46,138632,965,5,12,137656,Trial: 5
alcohol_01,21.38,305.47,FALSE,70,1250,4,473.99,138868,1181,5,12,137656,Trial: 5
alcohol_01,2.33,89.64,FALSE,26,1398,5,160.52,139041,1373,5,12,137656,Trial: 5
alcohol_01,19.11,140.48,FALSE,136,1907,6,408.87,139449,1772,5,12,137656,Trial: 5
alcohol_01,4.13,125.04,FALSE,33,2265,7,209.24,139903,2233,5,12,137656,Trial: 5
alcohol_01,2.72,79.86,FALSE,34,2898,8,148.24,140533,2865,5,12,137656,Trial: 5
