downbox,targettest,corrAns,upbox,rightbox,leftbox,task2.thisRepN,task2.thisTrialN,task2.thisN,task2.thisIndex,task1.thisRepN,task1.thisTrialN,task1.thisN,task1.thisIndex,start.keys,start.rt,answer2.keys,answer2.corr,answer2.rt,answer1.keys,answer1.corr,answer1.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,return,6.02863653264,,,,,,,2015_Dec_16_1527,284.027972692,test1,001,01b,
,,,,,,,,,,,,,,return,5.19243861572,left,1,0.816528385829,,,,2015_Dec_16_1527,284.027972692,test1,001,01b,
green,red,left,yellow,red,blue,,,,,0,0,0,17,,,,,,left,1,0.94132696353,2015_Dec_16_1527,284.027972692,test1,001,01b,
red,yellow,down,yellow,blue,green,,,,,0,1,1,8,,,,,,down,1,1.09635933706,2015_Dec_16_1527,284.027972692,test1,001,01b,
yellow,yellow,up,green,red,blue,,,,,0,2,2,31,,,,,,up,1,1.04367371176,2015_Dec_16_1527,284.027972692,test1,001,01b,
blue,yellow,down,yellow,green,red,,,,,0,3,3,6,,,,,,down,1,0.920294032447,2015_Dec_16_1527,284.027972692,test1,001,01b,
yellow,red,down,red,blue,green,,,,,0,4,4,5,,,,,,down,1,0.676903073811,2015_Dec_16_1527,284.027972692,test1,001,01b,
green,blue,left,yellow,blue,red,,,,,0,5,5,23,,,,,,up,0,1.14233126,2015_Dec_16_1527,284.027972692,test1,001,01b,
green,green,up,yellow,blue,red,,,,,0,6,6,24,,,,,,up,1,1.27000260169,2015_Dec_16_1527,284.027972692,test1,001,01b,
blue,yellow,right,red,green,yellow,,,,,0,7,7,43,,,,,,right,1,0.761652979738,2015_Dec_16_1527,284.027972692,test1,001,01b,
blue,green,left,red,green,yellow,,,,,0,8,8,13,,,,,,up,0,1.13396447525,2015_Dec_16_1527,284.027972692,test1,001,01b,
red,blue,left,green,blue,yellow,,,,,0,9,9,21,,,,,,left,1,0.72679709753,2015_Dec_16_1527,284.027972692,test1,001,01b,
blue,blue,up,red,green,yellow,,,,,0,10,10,34,,,,,,left,0,1.28320352161,2015_Dec_16_1527,284.027972692,test1,001,01b,
