downbox,targettest,corrAns,upbox,rightbox,leftbox,task2.thisRepN,task2.thisTrialN,task2.thisN,task2.thisIndex,task1.thisRepN,task1.thisTrialN,task1.thisN,task1.thisIndex,start.keys,start.rt,answer2.keys,answer2.corr,answer2.rt,answer1.keys,answer1.corr,answer1.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,return,7.78291720762,,,,,,,2015_Dec_16_1624,284.017621233,test1,001,02,
,,,,,,,,,,,,,,return,7.14008822641,up,1,0.728775791918,,,,2015_Dec_16_1624,284.017621233,test1,001,02,
green,red,right,blue,yellow,red,,,,,0,0,0,41,,,,,,up,0,1.19336989812,2015_Dec_16_1624,284.017621233,test1,001,02,
red,blue,right,yellow,green,blue,,,,,0,1,1,45,,,,,,down,0,0.870399687923,2015_Dec_16_1624,284.017621233,test1,001,02,
green,red,left,yellow,red,blue,,,,,0,2,2,17,,,,,,left,1,1.14025985442,2015_Dec_16_1624,284.017621233,test1,001,02,
yellow,red,left,blue,red,green,,,,,0,3,3,16,,,,,,left,1,0.81992277061,2015_Dec_16_1624,284.017621233,test1,001,02,
red,green,right,blue,yellow,green,,,,,0,4,4,36,,,,,,right,1,0.598945787046,2015_Dec_16_1624,284.017621233,test1,001,02,
blue,blue,up,yellow,red,green,,,,,0,5,5,35,,,,,,up,1,0.723970849547,2015_Dec_16_1624,284.017621233,test1,001,02,
red,yellow,right,green,blue,yellow,,,,,0,6,6,42,,,,,,right,1,1.39823373937,2015_Dec_16_1624,284.017621233,test1,001,02,
green,blue,left,yellow,blue,red,,,,,0,7,7,23,,,,,,left,1,0.500912515596,2015_Dec_16_1624,284.017621233,test1,001,02,
blue,green,right,yellow,red,green,,,,,0,8,8,37,,,,,,up,0,0.69983674488,2015_Dec_16_1624,284.017621233,test1,001,02,
blue,red,left,green,red,yellow,,,,,0,9,9,15,,,,,,left,1,0.768579693296,2015_Dec_16_1624,284.017621233,test1,001,02,
yellow,green,right,red,blue,green,,,,,0,10,10,38,,,,,,right,1,1.15834206711,2015_Dec_16_1624,284.017621233,test1,001,02,
red,red,up,blue,green,yellow,,,,,0,11,11,28,,,,,,up,1,0.406822838522,2015_Dec_16_1624,284.017621233,test1,001,02,
yellow,green,down,green,blue,red,,,,,0,12,12,0,,,,,,down,1,0.425651552814,2015_Dec_16_1624,284.017621233,test1,001,02,
green,green,up,red,yellow,blue,,,,,0,13,13,25,,,,,,up,1,0.434890592765,2015_Dec_16_1624,284.017621233,test1,001,02,
green,green,up,blue,red,yellow,,,,,0,14,14,26,,,,,,up,1,0.57693762397,2015_Dec_16_1624,284.017621233,test1,001,02,
red,green,down,green,yellow,blue,,,,,0,15,15,1,,,,,,down,1,1.17522063822,2015_Dec_16_1624,284.017621233,test1,001,02,
yellow,red,down,red,blue,green,,,,,0,16,16,5,,,,,,down,1,1.18805071335,2015_Dec_16_1624,284.017621233,test1,001,02,
