RECORDING_SESSION_LABEL,CURRENT_SAC_ADJUSTED,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_ANGLE,CURRENT_SAC_AVG_VELOCITY,CURRENT_SAC_CONTAINS_BLINK,CURRENT_SAC_DIRECTION,CURRENT_SAC_DURATION,CURRENT_SAC_END_INTEREST_AREAS,CURRENT_SAC_END_INTEREST_AREA_INDEX,CURRENT_SAC_END_INTEREST_AREA_LABEL,CURRENT_SAC_END_TIME,CURRENT_SAC_END_X,CURRENT_SAC_END_X_RESOLUTION,CURRENT_SAC_END_Y,CURRENT_SAC_END_Y_RESOLUTION,CURRENT_SAC_INDEX,CURRENT_SAC_IS_RT_END,CURRENT_SAC_LABEL,CURRENT_SAC_MSG_COUNT,CURRENT_SAC_MSG_TEXT_1,CURRENT_SAC_MSG_TIME_1,CURRENT_SAC_NEAREST_END_INTEREST_AREA,CURRENT_SAC_NEAREST_END_INTEREST_AREA_LABEL,CURRENT_SAC_NEAREST_START_INTEREST_AREA,CURRENT_SAC_NEAREST_START_INTEREST_AREA_LABEL,CURRENT_SAC_PEAK_VELOCITY,CURRENT_SAC_PEAK_VELOCITY_TIME,CURRENT_SAC_START_INTEREST_AREAS,CURRENT_SAC_START_INTEREST_AREA_INDEX,CURRENT_SAC_START_INTEREST_AREA_LABEL,CURRENT_SAC_START_TIME,CURRENT_SAC_START_X,CURRENT_SAC_START_X_RESOLUTION,CURRENT_SAC_START_Y,CURRENT_SAC_START_Y_RESOLUTION,DATA_FILE,EYE_USED,IP_END_TIME,IP_LABEL,IP_START_TIME,NEXT_FIX_BLINK_AROUND,NEXT_FIX_DURATION,NEXT_FIX_END,NEXT_FIX_INTEREST_AREAS,NEXT_FIX_INTEREST_AREA_DWELL_TIME,NEXT_FIX_INTEREST_AREA_FIX_COUNT,NEXT_FIX_INTEREST_AREA_INDEX,NEXT_FIX_INTEREST_AREA_RUN_ID,NEXT_FIX_IS_RT_END,NEXT_FIX_LABEL,NEXT_FIX_MSG_COUNT,NEXT_FIX_MSG_TEXT_1,NEXT_FIX_MSG_TIME_1,NEXT_FIX_NEAREST_INTEREST_AREA,NEXT_FIX_NEAREST_INTEREST_AREA_LABEL,NEXT_FIX_PUPIL,NEXT_FIX_RUN_DWELL_TIME,NEXT_FIX_RUN_INDEX,NEXT_FIX_RUN_SIZE,NEXT_FIX_START,NEXT_FIX_TRIAL_SPAN,NEXT_FIX_X,NEXT_FIX_X_RESOLUTION,NEXT_FIX_Y,NEXT_FIX_Y_RESOLUTION,NEXT_SAC_AMPLITUDE,NEXT_SAC_ANGLE,NEXT_SAC_AVG_VELOCITY,NEXT_SAC_CONTAINS_BLINK,NEXT_SAC_DIRECTION,NEXT_SAC_DURATION,NEXT_SAC_END_INTEREST_AREAS,NEXT_SAC_END_INTEREST_AREA_INDEX,NEXT_SAC_END_INTEREST_AREA_LABEL,NEXT_SAC_END_TIME,NEXT_SAC_END_X,NEXT_SAC_END_X_RESOLUTION,NEXT_SAC_END_Y,NEXT_SAC_END_Y_RESOLUTION,NEXT_SAC_INDEX,NEXT_SAC_IS_RT_END,NEXT_SAC_LABEL,NEXT_SAC_MSG_COUNT,NEXT_SAC_MSG_TEXT_1,NEXT_SAC_MSG_TIME_1,NEXT_SAC_NEAREST_END_INTEREST_AREA,NEXT_SAC_NEAREST_END_INTEREST_AREA_LABEL,NEXT_SAC_NEAREST_START_INTEREST_AREA,NEXT_SAC_NEAREST_START_INTEREST_AREA_LABEL,NEXT_SAC_PEAK_VELOCITY,NEXT_SAC_PEAK_VELOCITY_TIME,NEXT_SAC_START_INTEREST_AREAS,NEXT_SAC_START_INTEREST_AREA_INDEX,NEXT_SAC_START_INTEREST_AREA_LABEL,NEXT_SAC_START_TIME,NEXT_SAC_START_X,NEXT_SAC_START_X_RESOLUTION,NEXT_SAC_START_Y,NEXT_SAC_START_Y_RESOLUTION,PREVIOUS_FIX_BLINK_AROUND,PREVIOUS_FIX_DURATION,PREVIOUS_FIX_END,PREVIOUS_FIX_INTEREST_AREAS,PREVIOUS_FIX_INTEREST_AREA_DWELL_TIME,PREVIOUS_FIX_INTEREST_AREA_FIX_COUNT,PREVIOUS_FIX_INTEREST_AREA_INDEX,PREVIOUS_FIX_INTEREST_AREA_RUN_ID,PREVIOUS_FIX_IS_RT_END,PREVIOUS_FIX_LABEL,PREVIOUS_FIX_MSG_COUNT,PREVIOUS_FIX_MSG_TEXT_1,PREVIOUS_FIX_MSG_TIME_1,PREVIOUS_FIX_NEAREST_INTEREST_AREA,PREVIOUS_FIX_NEAREST_INTEREST_AREA_LABEL,PREVIOUS_FIX_PUPIL,PREVIOUS_FIX_RUN_DWELL_TIME,PREVIOUS_FIX_RUN_INDEX,PREVIOUS_FIX_RUN_SIZE,PREVIOUS_FIX_START,PREVIOUS_FIX_TRIAL_SPAN,PREVIOUS_FIX_X,PREVIOUS_FIX_X_RESOLUTION,PREVIOUS_FIX_Y,PREVIOUS_FIX_Y_RESOLUTION,PREVIOUS_SAC_AMPLITUDE,PREVIOUS_SAC_ANGLE,PREVIOUS_SAC_AVG_VELOCITY,PREVIOUS_SAC_CONTAINS_BLINK,PREVIOUS_SAC_DIRECTION,PREVIOUS_SAC_DURATION,PREVIOUS_SAC_END_INTEREST_AREAS,PREVIOUS_SAC_END_INTEREST_AREA_INDEX,PREVIOUS_SAC_END_INTEREST_AREA_LABEL,PREVIOUS_SAC_END_TIME,PREVIOUS_SAC_END_X,PREVIOUS_SAC_END_X_RESOLUTION,PREVIOUS_SAC_END_Y,PREVIOUS_SAC_END_Y_RESOLUTION,PREVIOUS_SAC_INDEX,PREVIOUS_SAC_IS_RT_END,PREVIOUS_SAC_LABEL,PREVIOUS_SAC_MSG_COUNT,PREVIOUS_SAC_MSG_TEXT_1,PREVIOUS_SAC_MSG_TIME_1,PREVIOUS_SAC_NEAREST_END_INTEREST_AREA,PREVIOUS_SAC_NEAREST_END_INTEREST_AREA_LABEL,PREVIOUS_SAC_NEAREST_START_INTEREST_AREA,PREVIOUS_SAC_NEAREST_START_INTEREST_AREA_LABEL,PREVIOUS_SAC_PEAK_VELOCITY,PREVIOUS_SAC_PEAK_VELOCITY_TIME,PREVIOUS_SAC_START_INTEREST_AREAS,PREVIOUS_SAC_START_INTEREST_AREA_INDEX,PREVIOUS_SAC_START_INTEREST_AREA_LABEL,PREVIOUS_SAC_START_TIME,PREVIOUS_SAC_START_X,PREVIOUS_SAC_START_X_RESOLUTION,PREVIOUS_SAC_START_Y,PREVIOUS_SAC_START_Y_RESOLUTION,TRIAL_INDEX,TRIAL_LABEL,TRIAL_SACCADE_TOTAL,TRIAL_START_TIME,VIDEO_FRAME_INDEX_END,VIDEO_FRAME_INDEX_START,VIDEO_NAME_END,VIDEO_NAME_START
02_alcohol,FALSE,1.73,116.2,82.53,FALSE,UP,21,[ ],.,.,359,412.8,16.6,337,22.2,1,FALSE,Saccade: 339ms,0,.,.,.,.,.,.,163.1,0,[ ],.,.,339,425.5,16.6,371.6,22.3,02_alcohol.EDF,RIGHT,90890,Full Trial Period,86955,NONE,272,631,[ ],.,.,.,.,FALSE,Fixation: 360ms,0,.,.,.,.,2619,.,.,.,360,SPAN_NONE,411.1,16.6,337.9,22.2,0.65,31.02,53.89,FALSE,RIGHT,12,[ ],.,.,643,417,16.6,333.6,22.2,2,FALSE,Saccade: 632ms,0,.,.,.,.,.,.,62,0,[ ],.,.,632,407.8,16.6,341,22.2,NONE,332,338,[ ],.,.,.,.,FALSE,Fixation: 7ms,0,.,.,.,.,3080,.,.,.,7,SPAN_NONE,424.2,16.6,362.1,22.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Trial: 1,3,86955,.,.,.,.
02_alcohol,FALSE,0.65,31.02,53.89,FALSE,RIGHT,12,[ ],.,.,643,417,16.6,333.6,22.2,2,FALSE,Saccade: 632ms,0,.,.,.,.,.,.,62,0,[ ],.,.,632,407.8,16.6,341,22.2,02_alcohol.EDF,RIGHT,90890,Full Trial Period,86955,NONE,422,1065,[ ],.,.,.,.,FALSE,Fixation: 644ms,0,.,.,.,.,2389,.,.,.,644,SPAN_NONE,421.1,16.6,336.2,22.2,1.14,137.58,63.21,FALSE,LEFT,18,[ ],.,.,1083,408.8,16.55,319.3,22.15,3,FALSE,Saccade: 1066ms,0,.,.,.,.,.,.,108,0,[ ],.,.,1066,422.7,16.6,336.3,22.2,NONE,272,631,[ ],.,.,.,.,FALSE,Fixation: 360ms,0,.,.,.,.,2619,.,.,.,360,SPAN_NONE,411.1,16.6,337.9,22.2,1.73,116.2,82.53,FALSE,UP,21,[ ],.,.,359,412.8,16.6,337,22.2,1,FALSE,Saccade: 339ms,0,.,.,.,.,.,.,163.1,0,[ ],.,.,339,425.5,16.6,371.6,22.3,1,Trial: 1,3,86955,.,.,.,.
02_alcohol,FALSE,1.14,137.58,63.21,FALSE,LEFT,18,[ ],.,.,1083,408.8,16.55,319.3,22.15,3,FALSE,Saccade: 1066ms,0,.,.,.,.,.,.,108,0,[ ],.,.,1066,422.7,16.6,336.3,22.2,02_alcohol.EDF,RIGHT,90890,Full Trial Period,86955,NONE,2850,3933,[ ],.,.,.,.,FALSE,Fixation: 1084ms,0,.,.,.,.,2295,.,.,.,1084,SPAN_NONE,408.8,16.55,332.8,22.15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NONE,422,1065,[ ],.,.,.,.,FALSE,Fixation: 644ms,0,.,.,.,.,2389,.,.,.,644,SPAN_NONE,421.1,16.6,336.2,22.2,0.65,31.02,53.89,FALSE,RIGHT,12,[ ],.,.,643,417,16.6,333.6,22.2,2,FALSE,Saccade: 632ms,0,.,.,.,.,.,.,62,0,[ ],.,.,632,407.8,16.6,341,22.2,1,Trial: 1,3,86955,.,.,.,.
02_alcohol,FALSE,0.34,4.58,48.35,FALSE,.,7,[ ],.,.,820,416.8,16.6,347.5,22.2,1,FALSE,Saccade: 814ms,0,.,.,.,.,.,.,52.1,0,[ ],.,.,814,411.2,16.6,348.1,22.2,02_alcohol.EDF,RIGHT,95239,Full Trial Period,90918,NONE,207,1027,[ ],.,.,.,.,FALSE,Fixation: 821ms,0,.,.,.,.,2482,.,.,.,821,SPAN_NONE,420.4,16.6,350.3,22.2,1.17,148.54,64.74,FALSE,LEFT,18,[ ],.,.,1045,405.4,16.6,338.9,22.2,2,FALSE,Saccade: 1028ms,0,.,.,.,.,.,.,99,0,[ ],.,.,1028,421.9,16.6,352.4,22.2,NONE,807,813,[ ],.,.,.,.,FALSE,Fixation: 7ms,0,.,.,.,.,2497,.,.,.,7,SPAN_NONE,406.4,16.6,344.5,22.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Trial: 2,5,90918,.,.,.,.
02_alcohol,FALSE,1.17,148.54,64.74,FALSE,LEFT,18,[ ],.,.,1045,405.4,16.6,338.9,22.2,2,FALSE,Saccade: 1028ms,0,.,.,.,.,.,.,99,0,[ ],.,.,1028,421.9,16.6,352.4,22.2,02_alcohol.EDF,RIGHT,95239,Full Trial Period,90918,NONE,443,1488,[ ],.,.,.,.,FALSE,Fixation: 1046ms,0,.,.,.,.,2456,.,.,.,1046,SPAN_NONE,407.8,16.6,338.6,22.2,1.26,-147.81,57.27,FALSE,LEFT,22,[ ],.,.,1510,390.6,16.6,349.5,22.25,3,FALSE,Saccade: 1489ms,0,.,.,.,.,.,.,120.2,0,[ ],.,.,1489,408.3,16.6,334.6,22.2,NONE,207,1027,[ ],.,.,.,.,FALSE,Fixation: 821ms,0,.,.,.,.,2482,.,.,.,821,SPAN_NONE,420.4,16.6,350.3,22.2,0.34,4.58,48.35,FALSE,.,7,[ ],.,.,820,416.8,16.6,347.5,22.2,1,FALSE,Saccade: 814ms,0,.,.,.,.,.,.,52.1,0,[ ],.,.,814,411.2,16.6,348.1,22.2,2,Trial: 2,5,90918,.,.,.,.
02_alcohol,FALSE,1.26,-147.81,57.27,FALSE,LEFT,22,[ ],.,.,1510,390.6,16.6,349.5,22.25,3,FALSE,Saccade: 1489ms,0,.,.,.,.,.,.,120.2,0,[ ],.,.,1489,408.3,16.6,334.6,22.2,02_alcohol.EDF,RIGHT,95239,Full Trial Period,90918,AFTER,173,1683,[ ],.,.,.,.,FALSE,Fixation: 1511ms,0,.,.,.,.,2433,.,.,.,1511,SPAN_NONE,393.7,16.6,352.1,22.25,1.23,18.99,6.79,TRUE,RIGHT,181,[ ],.,.,1864,413.7,16.6,347.7,22.2,4,FALSE,Saccade: 1684ms,0,.,.,.,.,.,.,1761.5,0,[ ],.,.,1684,394.4,16.6,356.6,22.25,NONE,443,1488,[ ],.,.,.,.,FALSE,Fixation: 1046ms,0,.,.,.,.,2456,.,.,.,1046,SPAN_NONE,407.8,16.6,338.6,22.2,1.17,148.54,64.74,FALSE,LEFT,18,[ ],.,.,1045,405.4,16.6,338.9,22.2,2,FALSE,Saccade: 1028ms,0,.,.,.,.,.,.,99,0,[ ],.,.,1028,421.9,16.6,352.4,22.2,2,Trial: 2,5,90918,.,.,.,.
02_alcohol,FALSE,1.23,18.99,6.79,TRUE,RIGHT,181,[ ],.,.,1864,413.7,16.6,347.7,22.2,4,FALSE,Saccade: 1684ms,0,.,.,.,.,.,.,1761.5,0,[ ],.,.,1684,394.4,16.6,356.6,22.25,02_alcohol.EDF,RIGHT,95239,Full Trial Period,90918,BEFORE,428,2292,[ ],.,.,.,.,FALSE,Fixation: 1865ms,0,.,.,.,.,2396,.,.,.,1865,SPAN_NONE,415.4,16.6,353.7,22.2,0.61,144.56,61.37,FALSE,LEFT,10,[ ],.,.,2302,407.5,16.6,346.1,22.2,5,FALSE,Saccade: 2293ms,0,.,.,.,.,.,.,72.8,0,[ ],.,.,2293,415.8,16.6,354,22.2,AFTER,173,1683,[ ],.,.,.,.,FALSE,Fixation: 1511ms,0,.,.,.,.,2433,.,.,.,1511,SPAN_NONE,393.7,16.6,352.1,22.25,1.26,-147.81,57.27,FALSE,LEFT,22,[ ],.,.,1510,390.6,16.6,349.5,22.25,3,FALSE,Saccade: 1489ms,0,.,.,.,.,.,.,120.2,0,[ ],.,.,1489,408.3,16.6,334.6,22.2,2,Trial: 2,5,90918,.,.,.,.
02_alcohol,FALSE,0.61,144.56,61.37,FALSE,LEFT,10,[ ],.,.,2302,407.5,16.6,346.1,22.2,5,FALSE,Saccade: 2293ms,0,.,.,.,.,.,.,72.8,0,[ ],.,.,2293,415.8,16.6,354,22.2,02_alcohol.EDF,RIGHT,95239,Full Trial Period,90918,NONE,2017,4319,[ ],.,.,.,.,FALSE,Fixation: 2303ms,0,.,.,.,.,2325,.,.,.,2303,SPAN_NONE,409.9,16.6,351.4,22.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,BEFORE,428,2292,[ ],.,.,.,.,FALSE,Fixation: 1865ms,0,.,.,.,.,2396,.,.,.,1865,SPAN_NONE,415.4,16.6,353.7,22.2,1.23,18.99,6.79,TRUE,RIGHT,181,[ ],.,.,1864,413.7,16.6,347.7,22.2,4,FALSE,Saccade: 1684ms,0,.,.,.,.,.,.,1761.5,0,[ ],.,.,1684,394.4,16.6,356.6,22.25,2,Trial: 2,5,90918,.,.,.,.
02_alcohol,FALSE,0.58,59.22,57.68,FALSE,UP,10,[ ],.,.,474,412.4,16.6,341,22.2,1,FALSE,Saccade: 465ms,0,.,.,.,.,.,.,63,0,[ ],.,.,465,407.5,16.6,352,22.2,02_alcohol.EDF,RIGHT,99880,Full Trial Period,95268,NONE,299,773,[ ],.,.,.,.,FALSE,Fixation: 475ms,0,.,.,.,.,2388,.,.,.,475,SPAN_NONE,412.4,16.6,342.4,22.2,0.33,-3.96,46.58,FALSE,.,7,[ ],.,.,780,420.6,16.6,346.3,22.2,2,FALSE,Saccade: 774ms,0,.,.,.,.,.,.,48.9,0,[ ],.,.,774,415.2,16.6,345.8,22.2,NONE,458,464,[ ],.,.,.,.,FALSE,Fixation: 7ms,0,.,.,.,.,2468,.,.,.,7,SPAN_NONE,408.9,16.6,351.8,22.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,Trial: 3,8,95268,.,.,.,.
02_alcohol,FALSE,0.33,-3.96,46.58,FALSE,.,7,[ ],.,.,780,420.6,16.6,346.3,22.2,2,FALSE,Saccade: 774ms,0,.,.,.,.,.,.,48.9,0,[ ],.,.,774,415.2,16.6,345.8,22.2,02_alcohol.EDF,RIGHT,99880,Full Trial Period,95268,NONE,141,921,[ ],.,.,.,.,FALSE,Fixation: 781ms,0,.,.,.,.,2376,.,.,.,781,SPAN_NONE,421.4,16.6,345,22.2,1.52,153.12,69.28,FALSE,LEFT,22,[ ],.,.,943,399.1,16.55,329.2,22.15,3,FALSE,Saccade: 922ms,0,.,.,.,.,.,.,145.3,0,[ ],.,.,922,421.6,16.6,344.5,22.2,NONE,299,773,[ ],.,.,.,.,FALSE,Fixation: 475ms,0,.,.,.,.,2388,.,.,.,475,SPAN_NONE,412.4,16.6,342.4,22.2,0.58,59.22,57.68,FALSE,UP,10,[ ],.,.,474,412.4,16.6,341,22.2,1,FALSE,Saccade: 465ms,0,.,.,.,.,.,.,63,0,[ ],.,.,465,407.5,16.6,352,22.2,3,Trial: 3,8,95268,.,.,.,.
