RECORDING_SESSION_LABEL,CURRENT_SAC_ADJUSTED,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_ANGLE,CURRENT_SAC_AVG_VELOCITY,CURRENT_SAC_CONTAINS_BLINK,CURRENT_SAC_DIRECTION,CURRENT_SAC_DURATION,CURRENT_SAC_END_INTEREST_AREAS,CURRENT_SAC_END_INTEREST_AREA_INDEX,CURRENT_SAC_END_INTEREST_AREA_LABEL,CURRENT_SAC_END_TIME,CURRENT_SAC_END_X,CURRENT_SAC_END_X_RESOLUTION,CURRENT_SAC_END_Y,CURRENT_SAC_END_Y_RESOLUTION,CURRENT_SAC_INDEX,CURRENT_SAC_IS_RT_END,CURRENT_SAC_LABEL,CURRENT_SAC_MSG_COUNT,CURRENT_SAC_MSG_TEXT_1,CURRENT_SAC_MSG_TIME_1,CURRENT_SAC_NEAREST_END_INTEREST_AREA,CURRENT_SAC_NEAREST_END_INTEREST_AREA_LABEL,CURRENT_SAC_NEAREST_START_INTEREST_AREA,CURRENT_SAC_NEAREST_START_INTEREST_AREA_LABEL,CURRENT_SAC_PEAK_VELOCITY,CURRENT_SAC_PEAK_VELOCITY_TIME,CURRENT_SAC_START_INTEREST_AREAS,CURRENT_SAC_START_INTEREST_AREA_INDEX,CURRENT_SAC_START_INTEREST_AREA_LABEL,CURRENT_SAC_START_TIME,CURRENT_SAC_START_X,CURRENT_SAC_START_X_RESOLUTION,CURRENT_SAC_START_Y,CURRENT_SAC_START_Y_RESOLUTION,DATA_FILE,EYE_USED,IP_END_TIME,IP_LABEL,IP_START_TIME,NEXT_FIX_BLINK_AROUND,NEXT_FIX_DURATION,NEXT_FIX_END,NEXT_FIX_INTEREST_AREAS,NEXT_FIX_INTEREST_AREA_DWELL_TIME,NEXT_FIX_INTEREST_AREA_FIX_COUNT,NEXT_FIX_INTEREST_AREA_INDEX,NEXT_FIX_INTEREST_AREA_RUN_ID,NEXT_FIX_IS_RT_END,NEXT_FIX_LABEL,NEXT_FIX_MSG_COUNT,NEXT_FIX_MSG_TEXT_1,NEXT_FIX_MSG_TIME_1,NEXT_FIX_NEAREST_INTEREST_AREA,NEXT_FIX_NEAREST_INTEREST_AREA_LABEL,NEXT_FIX_PUPIL,NEXT_FIX_RUN_DWELL_TIME,NEXT_FIX_RUN_INDEX,NEXT_FIX_RUN_SIZE,NEXT_FIX_START,NEXT_FIX_TRIAL_SPAN,NEXT_FIX_X,NEXT_FIX_X_RESOLUTION,NEXT_FIX_Y,NEXT_FIX_Y_RESOLUTION,NEXT_SAC_AMPLITUDE,NEXT_SAC_ANGLE,NEXT_SAC_AVG_VELOCITY,NEXT_SAC_CONTAINS_BLINK,NEXT_SAC_DIRECTION,NEXT_SAC_DURATION,NEXT_SAC_END_INTEREST_AREAS,NEXT_SAC_END_INTEREST_AREA_INDEX,NEXT_SAC_END_INTEREST_AREA_LABEL,NEXT_SAC_END_TIME,NEXT_SAC_END_X,NEXT_SAC_END_X_RESOLUTION,NEXT_SAC_END_Y,NEXT_SAC_END_Y_RESOLUTION,NEXT_SAC_INDEX,NEXT_SAC_IS_RT_END,NEXT_SAC_LABEL,NEXT_SAC_MSG_COUNT,NEXT_SAC_MSG_TEXT_1,NEXT_SAC_MSG_TIME_1,NEXT_SAC_NEAREST_END_INTEREST_AREA,NEXT_SAC_NEAREST_END_INTEREST_AREA_LABEL,NEXT_SAC_NEAREST_START_INTEREST_AREA,NEXT_SAC_NEAREST_START_INTEREST_AREA_LABEL,NEXT_SAC_PEAK_VELOCITY,NEXT_SAC_PEAK_VELOCITY_TIME,NEXT_SAC_START_INTEREST_AREAS,NEXT_SAC_START_INTEREST_AREA_INDEX,NEXT_SAC_START_INTEREST_AREA_LABEL,NEXT_SAC_START_TIME,NEXT_SAC_START_X,NEXT_SAC_START_X_RESOLUTION,NEXT_SAC_START_Y,NEXT_SAC_START_Y_RESOLUTION,PREVIOUS_FIX_BLINK_AROUND,PREVIOUS_FIX_DURATION,PREVIOUS_FIX_END,PREVIOUS_FIX_INTEREST_AREAS,PREVIOUS_FIX_INTEREST_AREA_DWELL_TIME,PREVIOUS_FIX_INTEREST_AREA_FIX_COUNT,PREVIOUS_FIX_INTEREST_AREA_INDEX,PREVIOUS_FIX_INTEREST_AREA_RUN_ID,PREVIOUS_FIX_IS_RT_END,PREVIOUS_FIX_LABEL,PREVIOUS_FIX_MSG_COUNT,PREVIOUS_FIX_MSG_TEXT_1,PREVIOUS_FIX_MSG_TIME_1,PREVIOUS_FIX_NEAREST_INTEREST_AREA,PREVIOUS_FIX_NEAREST_INTEREST_AREA_LABEL,PREVIOUS_FIX_PUPIL,PREVIOUS_FIX_RUN_DWELL_TIME,PREVIOUS_FIX_RUN_INDEX,PREVIOUS_FIX_RUN_SIZE,PREVIOUS_FIX_START,PREVIOUS_FIX_TRIAL_SPAN,PREVIOUS_FIX_X,PREVIOUS_FIX_X_RESOLUTION,PREVIOUS_FIX_Y,PREVIOUS_FIX_Y_RESOLUTION,PREVIOUS_SAC_AMPLITUDE,PREVIOUS_SAC_ANGLE,PREVIOUS_SAC_AVG_VELOCITY,PREVIOUS_SAC_CONTAINS_BLINK,PREVIOUS_SAC_DIRECTION,PREVIOUS_SAC_DURATION,PREVIOUS_SAC_END_INTEREST_AREAS,PREVIOUS_SAC_END_INTEREST_AREA_INDEX,PREVIOUS_SAC_END_INTEREST_AREA_LABEL,PREVIOUS_SAC_END_TIME,PREVIOUS_SAC_END_X,PREVIOUS_SAC_END_X_RESOLUTION,PREVIOUS_SAC_END_Y,PREVIOUS_SAC_END_Y_RESOLUTION,PREVIOUS_SAC_INDEX,PREVIOUS_SAC_IS_RT_END,PREVIOUS_SAC_LABEL,PREVIOUS_SAC_MSG_COUNT,PREVIOUS_SAC_MSG_TEXT_1,PREVIOUS_SAC_MSG_TIME_1,PREVIOUS_SAC_NEAREST_END_INTEREST_AREA,PREVIOUS_SAC_NEAREST_END_INTEREST_AREA_LABEL,PREVIOUS_SAC_NEAREST_START_INTEREST_AREA,PREVIOUS_SAC_NEAREST_START_INTEREST_AREA_LABEL,PREVIOUS_SAC_PEAK_VELOCITY,PREVIOUS_SAC_PEAK_VELOCITY_TIME,PREVIOUS_SAC_START_INTEREST_AREAS,PREVIOUS_SAC_START_INTEREST_AREA_INDEX,PREVIOUS_SAC_START_INTEREST_AREA_LABEL,PREVIOUS_SAC_START_TIME,PREVIOUS_SAC_START_X,PREVIOUS_SAC_START_X_RESOLUTION,PREVIOUS_SAC_START_Y,PREVIOUS_SAC_START_Y_RESOLUTION,TRIAL_INDEX,TRIAL_LABEL,TRIAL_SACCADE_TOTAL,TRIAL_START_TIME,VIDEO_FRAME_INDEX_END,VIDEO_FRAME_INDEX_START,VIDEO_NAME_END,VIDEO_NAME_START
02_baseline,FALSE,10.27,137.9,218.53,FALSE,LEFT,47,[ ],.,.,333,235,16.95,263.4,22.3,1,FALSE,Saccade: 287ms,0,.,.,.,.,.,.,376.3,0,[ ],.,.,287,363.4,16.7,418,22.6,02_baseline.EDF,RIGHT,213180,Full Trial Period,208937,NONE,191,524,[ ],.,.,.,.,FALSE,Fixation: 334ms,0,.,.,.,.,2279,.,.,.,334,SPAN_NONE,243.4,16.95,272.3,22.3,5.47,-16.31,140.2,FALSE,RIGHT,39,[ ],.,.,563,333.8,16.6,309.3,22.1,2,FALSE,Saccade: 525ms,0,.,.,.,.,.,.,258.8,0,[ ],.,.,525,245.9,16.95,275.2,22.3,NONE,280,286,[ ],.,.,.,.,FALSE,Fixation: 7ms,0,.,.,.,.,2283,.,.,.,7,SPAN_NONE,362.2,16.7,417.1,22.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Trial: 1,12,208937,.,.,.,.
02_baseline,FALSE,5.47,-16.31,140.2,FALSE,RIGHT,39,[ ],.,.,563,333.8,16.6,309.3,22.1,2,FALSE,Saccade: 525ms,0,.,.,.,.,.,.,258.8,0,[ ],.,.,525,245.9,16.95,275.2,22.3,02_baseline.EDF,RIGHT,213180,Full Trial Period,208937,NONE,134,697,[ ],.,.,.,.,FALSE,Fixation: 564ms,0,.,.,.,.,2303,.,.,.,564,SPAN_NONE,330.9,16.6,306.8,22.1,13.92,-6.66,290.03,FALSE,RIGHT,48,[ ],.,.,745,562,17,341.9,22.5,3,FALSE,Saccade: 698ms,0,.,.,.,.,.,.,601.6,0,[ ],.,.,698,329.7,16.6,305.9,22.1,NONE,191,524,[ ],.,.,.,.,FALSE,Fixation: 334ms,0,.,.,.,.,2279,.,.,.,334,SPAN_NONE,243.4,16.95,272.3,22.3,10.27,137.9,218.53,FALSE,LEFT,47,[ ],.,.,333,235,16.95,263.4,22.3,1,FALSE,Saccade: 287ms,0,.,.,.,.,.,.,376.3,0,[ ],.,.,287,363.4,16.7,418,22.6,1,Trial: 1,12,208937,.,.,.,.
02_baseline,FALSE,13.92,-6.66,290.03,FALSE,RIGHT,48,[ ],.,.,745,562,17,341.9,22.5,3,FALSE,Saccade: 698ms,0,.,.,.,.,.,.,601.6,0,[ ],.,.,698,329.7,16.6,305.9,22.1,02_baseline.EDF,RIGHT,213180,Full Trial Period,208937,NONE,94,839,[ ],.,.,.,.,FALSE,Fixation: 746ms,0,.,.,.,.,2369,.,.,.,746,SPAN_NONE,552.4,17,338.1,22.5,3.52,-7.07,117.37,FALSE,RIGHT,30,[ ],.,.,869,609.2,17.4,348.2,22.7,4,FALSE,Saccade: 840ms,0,.,.,.,.,.,.,241.5,0,[ ],.,.,840,549.1,17,338.4,22.5,NONE,134,697,[ ],.,.,.,.,FALSE,Fixation: 564ms,0,.,.,.,.,2303,.,.,.,564,SPAN_NONE,330.9,16.6,306.8,22.1,5.47,-16.31,140.2,FALSE,RIGHT,39,[ ],.,.,563,333.8,16.6,309.3,22.1,2,FALSE,Saccade: 525ms,0,.,.,.,.,.,.,258.8,0,[ ],.,.,525,245.9,16.95,275.2,22.3,1,Trial: 1,12,208937,.,.,.,.
02_baseline,FALSE,3.52,-7.07,117.37,FALSE,RIGHT,30,[ ],.,.,869,609.2,17.4,348.2,22.7,4,FALSE,Saccade: 840ms,0,.,.,.,.,.,.,241.5,0,[ ],.,.,840,549.1,17,338.4,22.5,02_baseline.EDF,RIGHT,213180,Full Trial Period,208937,NONE,184,1053,[ ],.,.,.,.,FALSE,Fixation: 870ms,0,.,.,.,.,2431,.,.,.,870,SPAN_NONE,607,17.4,346.3,22.7,16.95,125.42,223.04,FALSE,UP,76,[ ],.,.,1129,439.2,16.65,33.5,22.35,5,FALSE,Saccade: 1054ms,0,.,.,.,.,.,.,387.5,0,[ ],.,.,1054,606.7,17.4,345,22.7,NONE,94,839,[ ],.,.,.,.,FALSE,Fixation: 746ms,0,.,.,.,.,2369,.,.,.,746,SPAN_NONE,552.4,17,338.1,22.5,13.92,-6.66,290.03,FALSE,RIGHT,48,[ ],.,.,745,562,17,341.9,22.5,3,FALSE,Saccade: 698ms,0,.,.,.,.,.,.,601.6,0,[ ],.,.,698,329.7,16.6,305.9,22.1,1,Trial: 1,12,208937,.,.,.,.
02_baseline,FALSE,16.95,125.42,223.04,FALSE,UP,76,[ ],.,.,1129,439.2,16.65,33.5,22.35,5,FALSE,Saccade: 1054ms,0,.,.,.,.,.,.,387.5,0,[ ],.,.,1054,606.7,17.4,345,22.7,02_baseline.EDF,RIGHT,213180,Full Trial Period,208937,NONE,154,1283,[ ],.,.,.,.,FALSE,Fixation: 1130ms,0,.,.,.,.,2347,.,.,.,1130,SPAN_NONE,444.2,16.65,52,22.35,2.78,-173.51,121,FALSE,LEFT,23,[ ],.,.,1306,400.9,16.6,64.8,22.2,6,FALSE,Saccade: 1284ms,0,.,.,.,.,.,.,234.7,0,[ ],.,.,1284,446.8,16.65,57.8,22.35,NONE,184,1053,[ ],.,.,.,.,FALSE,Fixation: 870ms,0,.,.,.,.,2431,.,.,.,870,SPAN_NONE,607,17.4,346.3,22.7,3.52,-7.07,117.37,FALSE,RIGHT,30,[ ],.,.,869,609.2,17.4,348.2,22.7,4,FALSE,Saccade: 840ms,0,.,.,.,.,.,.,241.5,0,[ ],.,.,840,549.1,17,338.4,22.5,1,Trial: 1,12,208937,.,.,.,.
02_baseline,FALSE,2.78,-173.51,121,FALSE,LEFT,23,[ ],.,.,1306,400.9,16.6,64.8,22.2,6,FALSE,Saccade: 1284ms,0,.,.,.,.,.,.,234.7,0,[ ],.,.,1284,446.8,16.65,57.8,22.35,02_baseline.EDF,RIGHT,213180,Full Trial Period,208937,NONE,168,1474,[ ],.,.,.,.,FALSE,Fixation: 1307ms,0,.,.,.,.,2327,.,.,.,1307,SPAN_NONE,399.7,16.6,67.2,22.2,17.4,-135.42,328.32,FALSE,LEFT,53,[ ],.,.,1527,190.5,17.3,339.6,22.65,7,FALSE,Saccade: 1475ms,0,.,.,.,.,.,.,697.9,0,[ ],.,.,1475,401.2,16.6,65.4,22.2,NONE,154,1283,[ ],.,.,.,.,FALSE,Fixation: 1130ms,0,.,.,.,.,2347,.,.,.,1130,SPAN_NONE,444.2,16.65,52,22.35,16.95,125.42,223.04,FALSE,UP,76,[ ],.,.,1129,439.2,16.65,33.5,22.35,5,FALSE,Saccade: 1054ms,0,.,.,.,.,.,.,387.5,0,[ ],.,.,1054,606.7,17.4,345,22.7,1,Trial: 1,12,208937,.,.,.,.
02_baseline,FALSE,17.4,-135.42,328.32,FALSE,LEFT,53,[ ],.,.,1527,190.5,17.3,339.6,22.65,7,FALSE,Saccade: 1475ms,0,.,.,.,.,.,.,697.9,0,[ ],.,.,1475,401.2,16.6,65.4,22.2,02_baseline.EDF,RIGHT,213180,Full Trial Period,208937,NONE,215,1742,[ ],.,.,.,.,FALSE,Fixation: 1528ms,0,.,.,.,.,2778,.,.,.,1528,SPAN_NONE,200.9,17.3,330.3,22.65,19.37,3.77,302.68,FALSE,RIGHT,64,[ ],.,.,1806,531.9,16.75,299.4,22.3,8,FALSE,Saccade: 1743ms,0,.,.,.,.,.,.,677.9,0,[ ],.,.,1743,203.3,17.3,328,22.65,NONE,168,1474,[ ],.,.,.,.,FALSE,Fixation: 1307ms,0,.,.,.,.,2327,.,.,.,1307,SPAN_NONE,399.7,16.6,67.2,22.2,2.78,-173.51,121,FALSE,LEFT,23,[ ],.,.,1306,400.9,16.6,64.8,22.2,6,FALSE,Saccade: 1284ms,0,.,.,.,.,.,.,234.7,0,[ ],.,.,1284,446.8,16.65,57.8,22.35,1,Trial: 1,12,208937,.,.,.,.
02_baseline,FALSE,19.37,3.77,302.68,FALSE,RIGHT,64,[ ],.,.,1806,531.9,16.75,299.4,22.3,8,FALSE,Saccade: 1743ms,0,.,.,.,.,.,.,677.9,0,[ ],.,.,1743,203.3,17.3,328,22.65,02_baseline.EDF,RIGHT,213180,Full Trial Period,208937,NONE,1451,3257,[ ],.,.,.,.,FALSE,Fixation: 1807ms,0,.,.,.,.,2591,.,.,.,1807,SPAN_NONE,511.8,16.75,320.5,22.3,1.6,-164.28,80.25,FALSE,LEFT,20,[ ],.,.,3277,477.6,16.7,337.1,22.3,9,FALSE,Saccade: 3258ms,0,.,.,.,.,.,.,149.7,0,[ ],.,.,3258,503.4,16.75,327.4,22.3,NONE,215,1742,[ ],.,.,.,.,FALSE,Fixation: 1528ms,0,.,.,.,.,2778,.,.,.,1528,SPAN_NONE,200.9,17.3,330.3,22.65,17.4,-135.42,328.32,FALSE,LEFT,53,[ ],.,.,1527,190.5,17.3,339.6,22.65,7,FALSE,Saccade: 1475ms,0,.,.,.,.,.,.,697.9,0,[ ],.,.,1475,401.2,16.6,65.4,22.2,1,Trial: 1,12,208937,.,.,.,.
02_baseline,FALSE,1.6,-164.28,80.25,FALSE,LEFT,20,[ ],.,.,3277,477.6,16.7,337.1,22.3,9,FALSE,Saccade: 3258ms,0,.,.,.,.,.,.,149.7,0,[ ],.,.,3258,503.4,16.75,327.4,22.3,02_baseline.EDF,RIGHT,213180,Full Trial Period,208937,NONE,239,3516,[ ],.,.,.,.,FALSE,Fixation: 3278ms,0,.,.,.,.,2632,.,.,.,3278,SPAN_NONE,475.8,16.7,345.1,22.3,1.63,-156.36,81.63,FALSE,LEFT,20,[ ],.,.,3536,450.5,16.6,361.1,22.3,10,FALSE,Saccade: 3517ms,0,.,.,.,.,.,.,133.3,0,[ ],.,.,3517,475.4,16.7,346.5,22.3,NONE,1451,3257,[ ],.,.,.,.,FALSE,Fixation: 1807ms,0,.,.,.,.,2591,.,.,.,1807,SPAN_NONE,511.8,16.75,320.5,22.3,19.37,3.77,302.68,FALSE,RIGHT,64,[ ],.,.,1806,531.9,16.75,299.4,22.3,8,FALSE,Saccade: 1743ms,0,.,.,.,.,.,.,677.9,0,[ ],.,.,1743,203.3,17.3,328,22.65,1,Trial: 1,12,208937,.,.,.,.
02_baseline,FALSE,1.63,-156.36,81.63,FALSE,LEFT,20,[ ],.,.,3536,450.5,16.6,361.1,22.3,10,FALSE,Saccade: 3517ms,0,.,.,.,.,.,.,133.3,0,[ ],.,.,3517,475.4,16.7,346.5,22.3,02_baseline.EDF,RIGHT,213180,Full Trial Period,208937,NONE,159,3695,[ ],.,.,.,.,FALSE,Fixation: 3537ms,0,.,.,.,.,2664,.,.,.,3537,SPAN_NONE,448.9,16.6,367.2,22.3,3.23,173.95,129.39,FALSE,LEFT,25,[ ],.,.,3720,396.1,16.6,360.8,22.3,11,FALSE,Saccade: 3696ms,0,.,.,.,.,.,.,248,0,[ ],.,.,3696,449.5,16.6,368.4,22.3,NONE,239,3516,[ ],.,.,.,.,FALSE,Fixation: 3278ms,0,.,.,.,.,2632,.,.,.,3278,SPAN_NONE,475.8,16.7,345.1,22.3,1.6,-164.28,80.25,FALSE,LEFT,20,[ ],.,.,3277,477.6,16.7,337.1,22.3,9,FALSE,Saccade: 3258ms,0,.,.,.,.,.,.,149.7,0,[ ],.,.,3258,503.4,16.75,327.4,22.3,1,Trial: 1,12,208937,.,.,.,.
