id,condition,task,trial_index,current_sac_contains_blink,current_sac_duration,current_sac_end_time,current_sac_index,current_sac_peak_velocity,current_sac_peak_velocity_time,current_sac_start_time,trial_saccade_total,trial_start_time
1,alcohol,,2,0.0,42.0,2158.625,4.5,287.865,126640.0,2117.625,8.0,124505.0
1,alcohol,,21,0.0,41.22222222222222,1895.6666666666667,5.0,222.6533333333333,212152.0,1855.4444444444443,9.0,210282.0
1,alcohol,,59,0.0,17.333333333333332,1983.8333333333333,3.5,71.28666666666668,387550.0,1967.5,6.0,385576.0
1,alcohol,,60,0.0,46.0,2193.0,2.5,339.15000000000003,392534.5,2148.0,4.0,390375.0
1,alcohol,,61,0.0,21.0,2816.0,2.0,69.07666666666667,397311.0,2796.0,3.0,394502.0
1,alcohol,,64,0.0,31.833333333333332,2643.8333333333335,3.5,128.035,410310.6666666667,2613.0,6.0,407689.0
1,alcohol,,67,0.0,14.5,2346.0,1.5,43.235,423290.5,2332.5,2.0,420949.0
1,alcohol,,68,0.0,30.666666666666668,2121.1666666666665,3.5,108.63833333333332,427196.3333333333,2091.5,6.0,425094.0
1,alcohol,,70,0.0,19.5,3176.5,3.5,83.30666666666667,436834.5,3158.0,6.0,433669.0
1,alcohol,,75,0.0,14.166666666666666,2827.5,3.5,60.87833333333333,458235.8333333333,2814.3333333333335,6.0,455416.0
1,alcohol,,76,0.0,19.0,3842.0,1.5,521.905,463793.5,3824.0,2.0,459959.0
1,alcohol,,80,0.0,18.5,1615.25,2.5,83.72,479438.25,1597.75,4.0,477832.0
1,alcohol,,88,0.0,19.0,2282.0,3.0,70.688,514245.0,2264.0,5.0,511974.0
2,alcohol,,1,0.0,17.0,695.0,2.0,92.49666666666667,87643.0,679.0,3.0,86955.0
2,alcohol,,49,0.0,38.81818181818182,1860.0,6.0,304.30727272727273,305147.0909090909,1822.1818181818182,11.0,303310.0
2,alcohol,,52,0.0,37.22222222222222,1965.7777777777778,5.0,283.95666666666665,317818.8888888889,1929.5555555555557,9.0,315874.0
2,alcohol,,61,0.0,7.0,3288.0,1.0,34.41,358007.0,3282.0,1.0,354723.0
2,alcohol,,64,0.0,17.75,3159.0,2.5,82.43,370448.25,3142.25,4.0,367298.0
2,alcohol,,67,0.0,30.0,3264.0,2.0,161.51666666666668,383397.3333333333,3235.0,3.0,380147.0
2,alcohol,,83,0.0,17.333333333333332,3578.0,2.0,111.45333333333333,454323.3333333333,3561.6666666666665,3.0,450755.0
2,alcohol,,94,0.0,36.0,2303.4,3.0,225.39600000000002,500273.0,2268.4,5.0,497992.0
4,alcohol,,1,0.0,32.5,2320.8571428571427,7.5,166.3607142857143,4291762.571428572,2289.3571428571427,14.0,4289462.0
4,alcohol,,2,0.0,21.88888888888889,2970.3333333333335,5.0,116.13555555555556,4296861.111111111,2949.4444444444443,9.0,4293903.0
4,alcohol,,3,0.0,38.0,2705.5,3.5,143.83666666666667,4302199.666666667,2668.5,6.0,4299521.0
4,alcohol,,4,0.0,23.625,1882.25,4.5,108.89,4306044.625,1859.625,8.0,4304176.0
4,alcohol,,12,0.0,34.77777777777778,3613.4444444444443,5.0,180.03,4345276.777777778,3579.6666666666665,9.0,4341681.0
4,alcohol,,15,0.0,22.5,2588.8333333333335,3.5,65.25833333333333,4360221.166666667,2567.3333333333335,6.0,4357645.0
4,alcohol,,19,0.0,24.333333333333332,1634.6666666666667,2.0,98.77666666666666,4377553.0,1611.3333333333333,3.0,4375933.0
4,alcohol,,24,0.0,35.333333333333336,2248.1666666666665,3.5,94.7,4402225.333333333,2213.8333333333335,6.0,4400000.0
4,alcohol,,27,0.0,21.0,2482.875,4.5,78.285,4417176.25,2462.875,8.0,4414706.0
4,alcohol,,28,0.0,21.5,2140.5,3.5,54.580000000000005,4421357.833333333,2120.0,6.0,4419232.0
4,alcohol,,30,0.0,18.285714285714285,2101.1428571428573,4.0,62.87285714285714,4431144.571428572,2083.8571428571427,7.0,4429055.0
4,alcohol,,37,0.0,20.0,3000.125,4.5,108.09500000000001,4465819.625,2981.125,8.0,4462830.0
4,alcohol,,44,0.0,24.875,2718.75,4.5,127.0525,4499374.0,2694.875,8.0,4496670.0
4,alcohol,,49,0.0,37.90909090909091,2026.7272727272727,6.0,253.07909090909087,4525653.454545454,1989.8181818181818,11.0,4523650.0
4,alcohol,,50,0.0,34.09090909090909,3442.5454545454545,6.0,241.63454545454545,4531455.090909091,3409.4545454545455,11.0,4528033.0
4,alcohol,,67,0.0,31.0,2329.5714285714284,4.0,174.41000000000003,4619028.285714285,2299.5714285714284,7.0,4616717.0
4,alcohol,,69,0.0,26.4,2383.2,5.5,152.874,4628686.9,2357.8,10.0,4626318.0
4,alcohol,,84,0.0,35.27272727272727,2560.4545454545455,6.0,210.65272727272725,4699356.0,2526.181818181818,11.0,4696816.0
4,alcohol,,89,0.0,27.77777777777778,2702.6666666666665,5.0,157.35222222222222,4725036.888888889,2675.8888888888887,9.0,4722350.0
1,baseline,,2,0.0,17.428571428571427,2013.0,4.0,63.16428571428571,253142.0,1996.5714285714287,7.0,251139.0
1,baseline,,28,0.0,10.8,2840.8,3.0,45.226,381345.0,2831.0,5.0,378510.0
1,baseline,,33,0.0,16.77777777777778,2128.6666666666665,5.0,78.5611111111111,405913.0,2112.8888888888887,9.0,403793.0
1,baseline,,34,0.0,21.444444444444443,1914.6666666666667,5.0,94.15444444444444,410287.1111111111,1894.2222222222222,9.0,408386.0
1,baseline,,35,0.0,73.66666666666667,2350.0,2.0,509.82,415118.3333333333,2277.3333333333335,3.0,412819.0
1,baseline,,36,0.0,15.625,2377.875,4.5,64.15499999999999,419588.0,2363.25,8.0,417219.0
1,baseline,,37,0.0,50.625,2230.25,4.5,340.39124999999996,423763.875,2180.625,8.0,421569.0
1,baseline,,38,0.0,16.0,1435.5714285714287,4.0,67.83857142857143,427472.5714285714,1420.5714285714287,7.0,426046.0
1,baseline,,40,0.0,42.833333333333336,1913.1666666666667,3.5,257.33833333333337,436307.8333333333,1871.3333333333333,6.0,434418.0
1,baseline,,43,0.0,45.142857142857146,2283.285714285714,4.0,159.15714285714284,449475.5714285714,2239.1428571428573,7.0,447227.0
1,baseline,,45,0.0,18.0,1979.25,4.5,69.95,459856.75,1962.25,8.0,457888.0
1,baseline,,46,0.0,14.428571428571429,2090.285714285714,4.0,56.54285714285714,464466.0,2076.8571428571427,7.0,462384.0
1,baseline,,47,0.0,20.77777777777778,2459.5555555555557,5.0,79.12111111111112,468832.3333333333,2439.777777777778,9.0,466385.0
1,baseline,,48,0.0,30.636363636363637,3447.4545454545455,6.0,105.00181818181818,474286.36363636365,3417.818181818182,11.0,470861.0
1,baseline,,59,0.0,49.54545454545455,2244.7272727272725,6.0,266.07909090909084,529971.2727272727,2196.181818181818,11.0,527758.0
1,baseline,,61,0.0,54.0,2148.5,6.5,394.065,539888.5833333334,2095.5,12.0,537774.0
1,baseline,,62,0.0,42.333333333333336,1967.0,3.5,203.11666666666667,544226.5,1925.6666666666667,6.0,542288.0
1,baseline,,66,0.0,87.5,2429.6,5.5,487.17800000000005,561802.0,2343.1,10.0,559421.0
1,baseline,,67,0.0,37.916666666666664,1878.0833333333333,6.5,198.64499999999998,566155.3333333334,1841.1666666666667,12.0,564301.0
1,baseline,,68,0.0,42.30769230769231,2424.6153846153848,7.0,317.11769230769227,571020.0769230769,2383.3076923076924,13.0,568620.0
