condition,id,trial,peak_time,peak_point,freqency,trial_start,amplitude,avg_velocity,duration,sac_end_time,sac_index,peak_velocity,sac_peak_velocity_time,sac_start_time,trial_saccade_total,trial_start_time
alcohol,1,1,17.0,0.4780232620693147,10.0,0.0,6.285000000000001,6.285000000000001,36.75,2017.25,5.5,225.19625,122116.5,1981.5,10.0,120119.0
alcohol,1,2,18.375,0.47784229084026864,8.0,4386.0,7.8625,7.8625,42.0,2158.625,4.5,287.865,126640.0,2117.625,8.0,124505.0
alcohol,1,3,11.714285714285714,0.38975085946287535,8.0,8529.0,6.8428571428571425,6.8428571428571425,46.142857142857146,1998.857142857143,4.285714285714286,172.14142857142855,130612.42857142857,1953.7142857142858,8.0,128648.0
alcohol,1,4,15.833333333333334,0.4696416992968717,7.0,13268.0,6.081666666666668,6.081666666666668,35.5,1883.8333333333333,3.8333333333333335,201.0666666666667,135251.16666666666,1849.3333333333333,7.0,133387.0
alcohol,1,5,15.5,0.4009758247593041,12.0,17537.0,6.6190000000000015,6.6190000000000015,45.2,2410.7,6.6,223.108,140037.0,2366.5,12.0,137656.0
alcohol,1,6,15.222222222222221,0.48977300870917895,10.0,22545.0,5.853333333333334,5.853333333333334,32.77777777777778,2141.1111111111113,5.444444444444445,213.0577777777778,144787.55555555556,2109.3333333333335,10.0,142664.0
alcohol,1,7,17.5,0.43774995652929927,7.0,26852.0,9.615,9.615,43.0,1828.5,3.8333333333333335,266.03166666666664,148774.0,1786.5,7.0,146971.0
alcohol,1,8,15.272727272727273,0.4831957021071192,12.0,31380.0,7.280909090909091,7.280909090909091,34.72727272727273,2533.909090909091,7.0,272.9463636363636,154013.45454545456,2500.181818181818,12.0,151499.0
alcohol,1,9,15.166666666666666,0.48057835398260934,8.0,35621.0,6.699999999999999,6.699999999999999,33.666666666666664,2310.1666666666665,5.0,211.13000000000002,158031.66666666666,2277.5,8.0,155740.0
alcohol,1,10,16.285714285714285,0.42078674948240163,9.0,40435.0,8.070000000000002,8.070000000000002,43.285714285714285,1753.7142857142858,5.0,238.77714285714288,162280.7142857143,1711.4285714285713,9.0,160554.0
alcohol,1,11,14.6,0.47851022910619656,11.0,44706.0,5.1240000000000006,5.1240000000000006,31.3,1826.9,5.9,185.168,166635.2,1796.6,11.0,164825.0
alcohol,1,12,14.88888888888889,0.4589456807125179,11.0,49152.0,4.907777777777778,4.907777777777778,33.22222222222222,1967.2222222222222,5.444444444444445,193.15888888888892,171219.88888888888,1935.0,11.0,169271.0
alcohol,1,13,15.1,0.4719082808251615,11.0,53504.0,5.244999999999999,5.244999999999999,33.0,2397.2,6.1,202.22,176002.3,2365.2,11.0,173623.0
alcohol,1,14,14.875,0.44957964984397963,9.0,58212.0,5.6274999999999995,5.6274999999999995,34.25,1273.25,4.75,183.025,179584.875,1240.0,9.0,178331.0
alcohol,1,15,17.125,0.4402451344363109,10.0,62400.0,7.94625,7.94625,41.0,2114.75,5.5,235.67125,184609.875,2074.75,10.0,182519.0
alcohol,1,16,17.375,0.4203268795019197,9.0,67344.0,5.936249999999999,5.936249999999999,50.5,1628.375,4.5,230.63375,189058.25,1578.875,9.0,187463.0
alcohol,1,17,19.272727272727273,0.41186007872506836,12.0,71697.0,7.6909090909090905,7.6909090909090905,55.0,1972.090909090909,6.090909090909091,308.10727272727274,193752.36363636365,1918.090909090909,12.0,191816.0
alcohol,1,18,14.625,0.4284389649850657,9.0,76659.0,5.26625,5.26625,34.125,1823.375,4.875,198.51749999999998,198581.875,1790.25,9.0,196778.0
alcohol,1,19,16.714285714285715,0.44879073838701167,9.0,80769.0,7.4399999999999995,7.4399999999999995,40.857142857142854,1925.5714285714287,5.428571428571429,238.17,202789.42857142858,1885.7142857142858,9.0,200888.0
alcohol,1,20,19.857142857142858,0.41631071339449427,9.0,85364.0,5.917142857142857,5.917142857142857,53.0,1791.2857142857142,4.285714285714286,253.65571428571428,207241.14285714287,1739.2857142857142,9.0,205483.0
alcohol,1,21,15.555555555555555,0.4260807653255179,9.0,90163.0,7.200000000000001,7.200000000000001,41.22222222222222,1895.6666666666667,5.0,222.6533333333333,212152.0,1855.4444444444443,9.0,210282.0
alcohol,1,22,14.625,0.4722063590060194,10.0,94466.0,5.26625,5.26625,33.625,1935.75,5.875,194.1775,216501.75,1903.125,10.0,214585.0
alcohol,1,23,16.857142857142858,0.469441041033193,8.0,98738.0,6.159999999999999,6.159999999999999,38.0,2104.1428571428573,4.571428571428571,250.5171428571429,220940.0,2067.1428571428573,8.0,218857.0
alcohol,1,24,14.428571428571429,0.4820802087720746,8.0,103395.0,5.57,5.57,32.142857142857146,1917.4285714285713,4.428571428571429,192.0842857142857,225413.7142857143,1886.2857142857142,8.0,223514.0
alcohol,1,25,14.666666666666666,0.4345069780602857,10.0,107536.0,5.863333333333333,5.863333333333333,35.44444444444444,1892.2222222222222,5.333333333333333,220.18666666666664,229526.44444444444,1857.7777777777778,10.0,227655.0
alcohol,1,26,15.0,0.4382658149565925,9.0,111904.0,5.707142857142857,5.707142857142857,34.42857142857143,2040.0,4.428571428571429,192.27285714285713,234043.57142857142,2006.5714285714287,9.0,232023.0
alcohol,1,27,18.2,0.43705214502383355,7.0,116321.0,8.072,8.072,42.2,1639.6,4.2,279.736,238055.6,1598.4,7.0,236440.0
alcohol,1,28,20.0,0.4370673534207369,10.0,120226.0,6.155555555555555,6.155555555555555,54.77777777777778,1766.111111111111,5.0,295.1088888888888,242076.33333333334,1712.3333333333333,10.0,240345.0
alcohol,1,29,16.125,0.41749173205273715,9.0,124321.0,7.54,7.54,41.75,1644.375,4.5,249.55,246058.75,1603.625,9.0,244440.0
alcohol,1,30,13.0,0.4540348029163818,10.0,128271.0,4.342499999999999,4.342499999999999,29.125,1856.125,4.875,164.11125,250230.0,1828.0,10.0,248390.0
alcohol,1,31,14.5,0.3906390767548328,9.0,132961.0,6.7700000000000005,6.7700000000000005,39.125,1933.125,4.875,232.21500000000003,254988.5,1895.0,9.0,253080.0
alcohol,1,32,14.571428571428571,0.46182284180628824,8.0,137167.0,5.672857142857143,5.672857142857143,34.0,1878.5714285714287,4.428571428571429,226.16571428571427,259145.14285714287,1845.5714285714287,8.0,257286.0
alcohol,1,33,15.2,0.4358108286476069,12.0,141458.0,5.246,5.246,37.0,2464.9,6.6,213.90299999999996,264020.1,2428.9,12.0,261577.0
alcohol,1,34,15.8,0.4268568069953321,11.0,146289.0,7.654999999999999,7.654999999999999,42.0,2001.8,5.9,318.006,268383.6,1960.8,11.0,266408.0
alcohol,1,35,13.555555555555555,0.4129025685620681,10.0,151058.0,5.705555555555555,5.705555555555555,37.333333333333336,2498.1111111111113,5.222222222222222,200.82666666666665,273651.3333333333,2461.777777777778,10.0,271177.0
alcohol,1,36,14.857142857142858,0.4369328451626588,9.0,156258.0,5.772857142857143,5.772857142857143,37.57142857142857,1999.0,4.428571428571429,205.15857142857143,278353.28571428574,1962.4285714285713,9.0,276377.0
alcohol,1,37,14.333333333333334,0.4346665426338839,12.0,160737.0,5.125555555555555,5.125555555555555,34.55555555555556,1815.2222222222222,6.333333333333333,209.61333333333332,282651.0,1781.6666666666667,12.0,280856.0
alcohol,1,38,14.88888888888889,0.4256937561050975,10.0,165731.0,6.0922222222222215,6.0922222222222215,39.111111111111114,1754.2222222222222,5.222222222222222,207.11888888888888,287580.0,1716.111111111111,10.0,285850.0
alcohol,1,39,15.75,0.3677536183716099,10.0,169854.0,8.448749999999999,8.448749999999999,50.625,1522.5,4.75,269.73499999999996,291460.625,1472.875,10.0,289973.0
alcohol,1,40,14.727272727272727,0.4171797884486995,12.0,174627.0,6.713636363636365,6.713636363636365,42.81818181818182,1910.2727272727273,6.090909090909091,215.2709090909091,296628.1818181818,1868.4545454545455,12.0,294746.0
alcohol,1,41,14.5,0.44167156410320363,11.0,179246.0,5.797000000000001,5.797000000000001,37.4,1724.7,5.5,222.39600000000002,301066.8,1688.3,11.0,299365.0
alcohol,1,42,15.142857142857142,0.4017183327528155,8.0,183647.0,7.185714285714286,7.185714285714286,43.42857142857143,1335.0,4.142857142857143,239.95142857142858,305072.71428571426,1292.5714285714287,8.0,303766.0
alcohol,1,43,14.555555555555555,0.41365125615125614,11.0,188131.0,5.1288888888888895,5.1288888888888895,37.22222222222222,1954.0,6.333333333333333,202.67,310181.3333333333,1917.7777777777778,11.0,308250.0
alcohol,1,44,14.777777777777779,0.47108060224867493,10.0,192306.0,4.591111111111111,4.591111111111111,31.88888888888889,1821.111111111111,5.333333333333333,190.35333333333332,314229.0,1790.2222222222222,10.0,312425.0
alcohol,1,45,14.8,0.4702115528628017,11.0,197086.0,4.902,4.902,35.9,1786.9,5.9,196.50799999999998,318970.8,1752.0,11.0,317205.0
alcohol,1,46,14.181818181818182,0.3952762925009811,12.0,201458.0,5.715454545454546,5.715454545454546,39.0,2115.3636363636365,6.090909090909091,228.04181818181814,323667.54545454547,2077.3636363636365,12.0,321577.0
alcohol,1,47,14.5,0.425771836594205,13.0,206689.0,5.4433333333333325,5.4433333333333325,36.833333333333336,2042.6666666666667,6.916666666666667,221.69583333333333,328828.3333333333,2006.8333333333333,13.0,326808.0
alcohol,1,48,23.1,0.4440739590930778,11.0,211029.0,4.4350000000000005,4.4350000000000005,47.2,2103.1,5.6,386.33200000000005,333227.0,2056.9,11.0,331148.0
alcohol,1,49,8.75,0.48690153373296036,9.0,220583.0,1.0787499999999999,1.0787499999999999,18.25,2472.875,4.625,85.65,343165.375,2455.625,9.0,340702.0
